cardboard;other,9.89,9.51,9.27,6.50,8.92,5.93,20.55,37.06,21.19,13.94,599.52,200.54,17.31,38.99,27.76,52.97,667.93,1885.63
cardboard;other,1.98,1.90,1.85,0.93,1.62,1.48,4.22,6.26,8.29,2.61,21.20,16.95,4.33,10.26,4.21,5.13,20.62,65.51
polyester,9.89,9.51,9.27,7.43,11.36,5.19,10.54,19.31,15.66,6.97,356.69,98.86,5.41,13.34,8.41,11.11,74.41,115.54
polyester,6.93,7.61,6.49,4.64,4.06,4.45,12.65,19.83,18.42,8.71,186.52,87.56,7.57,22.57,10.93,14.52,61.86,234.66
polyester,2.97,3.80,5.56,2.79,3.24,2.96,5.27,6.79,7.83,3.92,31.49,22.60,5.41,13.34,6.73,8.54,26.00,82.19
cotton,11.87,15.22,12.97,9.29,12.17,9.63,12.65,19.83,15.20,8.71,136.26,50.84,11.90,17.44,14.30,21.36,182.00,459.79
cotton,10.88,15.22,15.75,10.22,13.79,11.12,16.86,23.49,16.58,8.28,139.89,59.31,12.98,25.65,15.14,28.19,335.31,991.06
cotton,10.88,14.27,15.75,11.15,13.79,11.12,12.65,21.40,17.50,8.28,160.48,59.31,11.90,26.67,15.98,25.63,182.00,533.65
cotton;polyester,9.89,12.36,12.97,9.29,12.17,8.89,12.12,19.31,12.90,8.71,260.40,97.92,8.65,20.52,14.30,27.34,276.14,913.63
cotton;polyester,9.89,10.46,11.12,10.22,12.98,8.15,10.54,17.22,12.90,6.97,227.70,79.09,7.57,21.54,15.14,26.49,232.21,575.34
cotton;polyester,12.86,17.12,14.83,8.36,11.36,8.15,8.96,14.09,11.05,5.66,147.76,56.49,6.49,16.41,10.09,17.94,124.62,359.73
cotton;polyester,11.87,13.31,12.05,8.36,10.54,6.67,15.28,27.14,17.04,10.02,440.26,141.22,6.49,15.39,10.93,16.23,147.93,371.65
cotton,6.93,9.51,9.27,6.50,7.30,5.93,6.85,12.00,10.59,4.79,110.22,54.61,6.49,12.31,8.41,12.82,78.90,259.68
cotton,4.95,4.76,7.41,4.64,6.49,4.45,21.08,41.75,18.88,15.25,686.73,235.37,5.41,14.36,8.41,11.96,68.14,223.94
cotton,6.93,7.61,7.41,3.72,4.87,3.71,6.32,8.87,9.67,3.92,84.18,39.54,4.33,12.31,6.73,10.25,61.86,194.16
cotton,4.95,7.61,10.19,6.50,8.92,6.67,9.49,13.57,11.98,7.84,206.50,68.73,6.49,14.36,10.09,15.38,104.90,312.09
cotton,7.92,9.51,10.19,5.57,8.11,5.19,6.85,9.92,9.21,5.23,96.89,40.48,6.49,16.41,10.09,14.52,108.48,281.12
cotton,7.92,11.41,12.97,7.43,8.92,6.67,7.90,11.48,11.05,5.23,104.77,45.19,6.49,14.36,9.25,12.82,81.59,254.91
cotton;polyester,4.95,10.46,13.90,8.36,9.73,8.89,10.54,13.05,11.98,4.36,73.28,29.19,9.73,13.34,6.73,9.40,64.55,120.31
cotton;polyester,3.96,4.76,5.56,2.79,3.24,2.96,6.32,9.39,9.21,3.49,49.66,29.19,5.41,12.31,5.89,7.69,34.97,103.63
cotton;polyester,1.98,1.90,2.78,0.93,1.62,1.48,3.69,5.22,6.91,2.61,19.98,16.95,3.24,10.26,5.05,7.69,32.28,108.40
cotton;polyester,0.99,1.90,3.71,0.93,1.62,1.48,3.69,4.70,6.45,2.18,10.90,12.24,3.24,7.18,3.36,4.27,8.97,26.21
cotton;polyester,1.98,1.90,3.71,1.86,2.43,1.48,5.27,7.31,7.83,3.05,33.91,23.54,4.33,10.26,5.05,6.83,30.48,126.26
cotton;polyester,1.98,1.90,2.78,1.86,2.43,1.48,5.27,6.79,7.83,3.05,29.67,20.71,4.33,11.29,5.05,7.69,50.21,117.93
cotton,11.87,15.22,16.68,11.15,13.79,9.63,14.23,22.44,14.74,10.46,374.25,89.44,9.73,23.60,17.66,29.05,451.86,891.00
cotton,13.85,20.92,24.10,15.79,17.03,13.34,14.23,17.22,13.36,7.41,171.38,65.90,12.98,21.54,14.30,23.92,176.62,465.75
cotton,4.95,10.46,14.83,8.36,8.11,7.41,8.43,11.48,10.13,3.92,50.87,27.30,8.65,12.31,6.73,10.25,50.21,159.62
